Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocked),Outward issue link (Blocker),Outward issue link (Blocker),Outward issue link (Child-Issue),Outward issue link (Cloners),Outward issue link (Container),Outward issue link (Container),Outward issue link (Duplicate),Outward issue link (Incorporates),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Reference),Outward issue link (Required),Outward issue link (Supercedes),Outward issue link (dependent),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affects version (Component)),Custom field (Attachment count),Custom field (Blog - New Blog Administrators),Custom field (Blog - New Blog PMC),Custom field (Blog - Write access),Custom field (Blog Administrator?),Custom field (Blogs - Admin for blog),Custom field (Blogs - Email Address),Custom field (Blogs - Existing Blog Access Level),Custom field (Blogs - Existing Blog Name),Custom field (Blogs - New Blog Write Access),Custom field (Blogs - Username),Custom field (Browser Version),Custom field (Bug Category),Custom field (Bugtraq ID),Custom field (Bugzilla - Email Notification Address),Custom field (Bugzilla - List of usernames),Custom field (Bugzilla - PMC Name),Custom field (Bugzilla - Project Name),Custom field (Bugzilla Id),Custom field (Cc),Custom field (Change Category),Custom field (Cloudstack-CVSS),Custom field (Code Review),Custom field (Codeplex ID),Custom field (Complexity),Custom field (Confluence Space Admin),Custom field (Customer(s)),Custom field (Database),Custom field (Date of First Response),Custom field (Discovered By),Custom field (Docs Text),Custom field (Enable Automatic Patch Review),Custom field (Epic Color),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Complexity),Custom field (Evidence Of Open Source Adoption),Custom field (Evidence Of Registration),Custom field (Evidence Of Use On World Wide Web),Custom field (Existing GitBox Approval),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue URL),Custom field (Fix priority),Custom field (Fix version (Component)),Custom field (Flags),Custom field (Git Notification Mailing List),Custom field (Git Repository Import Path),Custom field (Git Repository Name),Custom field (Git Repository Type),Custom field (GitHub Options),Custom field (Github Integration),Custom field (Github Integrations - Other),Custom field (Global Rank),Custom field (INFRA - Subversion Repository Path),Custom field (Ignite Flags),Custom field (Import Existing Data From),Custom field (Initial Confluence Contributors),Custom field (Issues Mailing List),Custom field (JDK Version),Custom field (JIRA Admin),Custom field (Last public comment date),Custom field (Level of effort),Custom field (Lucene Fields),Custom field (Lucene Fields),Custom field (Machine Readable Info),Custom field (New-TLP-TLPName),Custom field (O/S Version),Custom field (Old Scarab Id),Custom field (Patch Info),Custom field (Podling),Custom field (Priority),Custom field (Priority),Custom field (Project),Custom field (Project Key),Custom field (Project Name),Custom field (Proposed Name),Custom field (Protected Branch),Custom field (RYG),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Regression),Custom field (Release Note),Custom field (Review Date),Custom field (Reviewer),Custom field (Severity),Custom field (Severity),Custom field (Severity),Custom field (Severity),Custom field (Shepherd),Custom field (Skill Level),Custom field (Skill Level),Custom field (Space Description),Custom field (Space Key),Custom field (Space Name),Sprint,Custom field (Status Whiteboard),Custom field (Status Whiteboard),Custom field (Status Whiteboard),Custom field (Status Whiteboard),Custom field (Story Points),Custom field (Tags),Custom field (Target Version/s),Custom field (Test and Documentation Plan),Custom field (Testcase included),Custom field (Tester),Custom field (Urgency),Custom field (Workaround),Custom field (old issue number),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Docs enhancements for 3.5 release,ZOOKEEPER-3375,13230937,,Task,Resolved,ZOOKEEPER,ZooKeeper,software,phunt,Apache ZooKeeper is a service for coordinating processes of distributed applications.,http://zookeeper.apache.org,Major,Fixed,andorm,andorm,andorm,30/Apr/19 15:59,03/May/19 11:46,10/May/19 02:08,03/May/19 11:36,3.5.4,,,,,,3.5.5,,,,,documentation,,,,,0,pull-request-available,,,,"Add to release notes and README:
 * From 3.5.5 release if ZooKeeper is built with Java 8, than Java 8_u211+ should be used.

Add to Quorum TLS docs:
 * Certificates should be generate on a per machine basis, not per ZK instance

 ",,"anmolnar commented on pull request #928: ZOOKEEPER-3375. Docs enhancements for 3.5 release
URL: https://github.com/apache/zookeeper/pull/928
 
 
   I need this PR to be merged to 3.5 before creating a new RC.
   
   - Backport latest release notes to 3.5
   - Added comments on compiling with Java 8
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;02/May/19 14:03;githubbot;600","anmolnar commented on issue #928: ZOOKEEPER-3375. Docs enhancements for 3.5 release
URL: https://github.com/apache/zookeeper/pull/928#issuecomment-488692409
 
 
   @fpj @tdunning PTAL.
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;02/May/19 14:20;githubbot;600","anmolnar commented on issue #928: ZOOKEEPER-3375. Docs enhancements for 3.5 release
URL: https://github.com/apache/zookeeper/pull/928#issuecomment-489069020
 
 
   Committed. Thanks.
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;03/May/19 11:46;githubbot;600","anmolnar commented on pull request #928: ZOOKEEPER-3375. Docs enhancements for 3.5 release
URL: https://github.com/apache/zookeeper/pull/928
 
 
   
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;03/May/19 11:46;githubbot;600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2400,,,0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,9223372036854775807,,,,,,,,Fri May 03 11:36:26 UTC 2019,,,,,,,,,,,,,,,,,,0|z02a3k:,9223372036854775807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"03/May/19 11:36;andorm;Issue resolved by pull request 928
[https://github.com/apache/zookeeper/pull/928]",,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup pom.xml in order to let Maven clients import as few dependencies as possible,ZOOKEEPER-3372,13230503,,Improvement,Resolved,ZOOKEEPER,ZooKeeper,software,phunt,Apache ZooKeeper is a service for coordinating processes of distributed applications.,http://zookeeper.apache.org,Major,Fixed,eolivelli,eolivelli,eolivelli,27/Apr/19 21:43,29/Apr/19 17:50,10/May/19 02:09,29/Apr/19 11:49,3.5.5,3.6.0,,,,,3.5.5,3.6.0,,,,java client,,,,,0,pull-request-available,,,,"ZooKeeper client application imports a lot of third party dependencies that are automatically applied to maven client applications, that is applications that are using the 'client'.

This task is to clean up the final resulting pom of the main artifact consumed by ""clients"" as much as possible.

 ",,"eolivelli commented on pull request #925: ZOOKEEPER-3372 Cleanup pom.xml in order to let Maven clients import as few dependencies as possible
URL: https://github.com/apache/zookeeper/pull/925
 
 
   - mark as 'provided' all of the dependencies not needed by java clients
   - rework assembly project in order to build correctly the 'lib' directory
   - update jetty to latest version 
   - use project.version in order to refer to the current version
   - create a variable for snappy version
   - fix references to junit in recipes and in contrib
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;27/Apr/19 21:54;githubbot;600","eolivelli commented on issue #925: ZOOKEEPER-3372 Cleanup pom.xml in order to let Maven clients import as few dependencies as possible
URL: https://github.com/apache/zookeeper/pull/925#issuecomment-487322819
 
 
   The update of Jetty could be done in a separate patch.
   But as we are close to 3.5.5 I thought to include in this general fixup patch for poms.
   
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
For queries about this service, please contact Infrastructure at:
users@infra.apache.org
;27/Apr/19 21:55;githubbot;600","eolivelli commented on issue #925: ZOOKEEPER-3372 Cleanup pom.xml in order to let Maven clients import as few dependencies as possible
URL: https://github.com/apache/zookeeper/pull/925#issuecomment-487324971
 
 
   @anmolnar Travis build is affected by the same problem that I have fix in this pending PR
   https://github.com/apache/zookeeper/pull/910/files#diff-354f30a63fb0907d4ad57269548329e3R5
 
----------------------------------------------------------------
This is an automated message from the Apache Git Service.
To respond to the message, please log on to GitHub and use the
URL above to go to the specific comment.
 
